year,prob,conf_raw,conf_cal,god,consensus,pick,real,hit,tier
2024,0.5057993466693992,50.6,43.0,False,3,1,0,0,STANDARD
2024,0.7649013798880576,76.5,71.2,False,2,1,0,0,VOLUMEN
2024,0.20610985737689552,79.4,67.7,False,3,0,1,0,VOLUMEN
2024,0.8178956313569649,81.8,61.1,True,4,1,0,0,STANDARD
2024,0.251679682592393,74.8,63.2,False,2,0,0,1,STANDARD
2024,0.5530870169602513,55.3,53.5,False,3,1,0,0,STANDARD
2024,0.23043508734379944,77.0,71.2,False,4,0,0,1,VOLUMEN
2024,0.41722771384296076,58.3,53.5,False,1,0,0,1,STANDARD
2024,0.7101881074545748,71.0,59.7,False,4,1,1,1,STANDARD
2024,0.4579719487526389,54.2,43.0,False,4,0,1,0,STANDARD
2024,0.1263722202275544,87.4,81.8,True,4,0,0,1,GOD
2024,0.8629017521349227,86.3,81.8,True,4,1,1,1,GOD
2024,0.42637922406351236,57.4,53.5,False,4,0,1,0,STANDARD
2024,0.3670221959552446,63.3,59.7,False,4,0,0,1,STANDARD
2024,0.4225400379090259,57.7,53.5,False,3,0,1,0,STANDARD
2024,0.4008679029196274,59.9,53.5,False,3,0,0,1,STANDARD
2024,0.8180066157362103,81.8,61.1,True,4,1,0,0,STANDARD
2024,0.2236721085551363,77.6,71.2,False,4,0,1,0,VOLUMEN
2024,0.2003003655311115,80.0,57.6,True,4,0,0,1,STANDARD
2024,0.8664832974782222,86.6,81.8,False,4,1,1,1,SNIPER
2024,0.704225305527953,70.4,63.2,False,4,1,0,0,STANDARD
2024,0.8345498675880818,83.5,61.1,True,4,1,1,1,STANDARD
2024,0.7913463422022367,79.1,71.2,True,4,1,0,0,VOLUMEN
2024,0.2736153367332538,72.6,63.2,False,3,0,1,0,STANDARD
2024,0.7823787661276891,78.2,71.2,False,4,1,1,1,VOLUMEN
2024,0.6433599835502457,64.3,59.7,False,4,1,0,0,STANDARD
2024,0.8320255704681536,83.2,61.1,True,4,1,1,1,STANDARD
2024,0.24249831090989932,75.8,71.2,False,4,0,1,0,VOLUMEN
2024,0.5204333378271214,52.0,43.0,False,2,1,0,0,STANDARD
2024,0.3513096672641053,64.9,59.7,False,2,0,0,1,STANDARD
2024,0.6053337318030444,60.5,56.2,False,4,1,1,1,STANDARD
2024,0.3033581365202206,69.7,63.8,False,3,0,0,1,STANDARD
2024,0.41961081702849745,58.0,53.5,False,3,0,0,1,STANDARD
2024,0.8287787248253458,82.9,61.1,False,4,1,0,0,STANDARD
2024,0.15622559930831353,84.4,61.1,True,4,0,0,1,STANDARD
2024,0.8150157909062112,81.5,61.1,True,4,1,1,1,STANDARD
2024,0.7346183201538914,73.5,63.2,False,3,1,1,1,STANDARD
2024,0.9118439501398348,91.2,91.2,True,4,1,1,1,GOD
2024,0.42203149715908,57.8,53.5,False,2,0,1,0,STANDARD
2024,0.861881292957762,86.2,81.8,True,4,1,0,0,GOD
2024,0.35796851345431957,64.2,56.2,False,2,0,0,1,STANDARD
2024,0.5235175465288324,52.4,43.0,False,4,1,1,1,STANDARD
2024,0.49295910710883334,50.7,43.0,False,1,0,0,1,STANDARD
2024,0.26070901800249296,73.9,63.2,False,3,0,0,1,STANDARD
2024,0.7293904816361285,72.9,63.2,False,4,1,1,1,STANDARD
2024,0.5056969107692354,50.6,43.0,False,3,1,0,0,STANDARD
2024,0.5148252031278105,51.5,43.0,False,3,1,1,1,STANDARD
2024,0.7444199683250192,74.4,63.2,False,4,1,1,1,STANDARD
2024,0.6224594321893175,62.2,59.7,False,2,1,0,0,STANDARD
2024,0.530191573786374,53.0,43.0,False,3,1,0,0,STANDARD
2024,0.642612320019172,64.3,59.7,False,3,1,1,1,STANDARD
